# --- KORONY I MONARCHIE ---
FRA;Francja;FRA_DOP;Francji
PDK;Prudnik;PDK_DOP;Prudnika
SWD;Świdnica;SWD_DOP;Świdnicy
SCI;Ścinawa;SCI_DOP;Ścinawy
ZIE;Ziębica;ZIE_DOP;Ziębic
BRZ;Brzeg;BRZ_DOP;Brzegu
NMS;Namysłów;NMS_DOP;Namysłowa
STZ;Strzelce;STZ_DOP;Strzelec
NMD;Niemodlin;NMD_DOP;Niemodlina
SIZ;Siewierz;SIZ_DOP;Siewierza
WRC;Wrocław;WRC_DOP;Wrocławia
NYS;Nysa;NYS_DOP;Nysy

# --- NIEMCY, ALPY I EUROPA ŚRODKOWA (HRE KATOLICKIE) ---
HAB;Austria;HAB_DOP;Austrii
LOT;Lotaryngia;LOT_DOP;Lotaryngii
BAR;Bar;BAR_DOP;Baru
FRZ;Forez;FRZ_DOP;Forez
BLS;Blois;BLS_DOP;Blois
HAI;Hainaut;HAI_DOP;Hainaut
ARS;Artois;ARS_DOP;Artois
STP;Saint-Pol;STP_DOP;Saint-Pol
BGN;Boulogne;BGN_DOP;Boulogne
LUX;Luksemburg;LUX_DOP;Luksemburga
VDM;Vendôme;VDM_DOP;Vendôme
ETA;Étampes;ETA_DOP;Étampes
AST;Astarac;AST_DOP;Astarac
COM;Comminges;COM_DOP;Comminges
PER;Périgord;PER_DOP;Périgord
TON;Tonnerre;TON_DOP;Tonnerre
MON;Montfort;MON_DOP;Montfort
AUM;Aumale;AUM_DOP;Aumale
ROU;Roucy;ROU_DOP;Roucy
SAN;Sancerre;SAN_DOP;Sancerre
AUX;Auxerre;AUX_DOP;Auxerre
ORA;Orange;ORA_DOP;Orange
SCL;Saint-Claude;SCL_DOP;Saint-Claude
GNV;Genewa;GNV_DOP;Genewy
VUD;Vaud;VUD_DOP;Vaud
WGO;Wernigerode;WGO_DOP;Wernigerode
BHL;Beichlingen;BHL_DOP;Beichlingen
GLN;Gleichen;GLN_DOP;Gleichen
AOS;Aosta;AOS_DOP;Aosty
WDE;Waldeck;WDE_DOP;Waldeck
RBG;Rietberg;RBG_DOP;Rietberga
FLK;Falkenstein;FLK_DOP;Falkenstein
MDS;Manderscheid;MDS_DOP;Manderscheid
LDA;Landau;LDA_DOP;Landau
VEL;Veldenz;VEL_DOP;Veldenz
GRY;Gruyere;GRY_DOP;Gruyère
TGG;Toggenburg;TGG_DOP;Toggenburga
LIC;Lichtenberg;LIC_DOP;Lichtenberga
LEU;Leuchtenberg;LEU_DOP;Leuchtenberga
SFC;Strasburg;SFC_DOP;Strasburga
CFC;Colmar;CFC_DOP;Colmaru
MUR;Murbach;MUR_DOP;Murbach
HAG;Haguenau;HAG_DOP;Haguenau
MUL;Miluza;MUL_DOP;Miluzy
BLM;Belmont;BLM_DOP;Belmont
DIS;Disentis;DIS_DOP;Disentis
EVS;Everstein;EVS_DOP;Everstein
FUR;Fürstenberg;FUR_DOP;Fürstenberga
GRK;Gurk;GRK_DOP;Gurk
JEV;Jever;JEV_DOP;Jeveru
SAW;Saarwerden;SAW_DOP;Saarwerden
SAB;Szumirad;SAB_DOP;Szumiradu
THD;Truhendingen;THD_DOP;Truhendingen
WIE;Wied;WIE_DOP;Wied
ELL;Ellwangen;ELL_DOP;Ellwangen
HEH;Heidenheim;HEH_DOP;Heidenheim
HLF;Helfenstein;HLF_DOP;Helfenstein
HOH;Hohenzollern;HOH_DOP;Hohenzollern
KIR;Kirchberg;KIR_DOP;Kirchberga
NEL;Nellenburg;NEL_DOP;Nellenburga
TUB;Tybinga;TUB_DOP;Tybingi
RVB;Ravensberg;RVB_DOP;Ravensberga
TRI;Trewir;TRI_DOP;Trewirs
TCK;Tecklenburg;TCK_DOP;Tecklenburga
BNT;Bentheim;BNT_DOP;Bentheimu
NWG;Nowogard;NWG_DOP;Nowogardu
HAM;Hamburg;HAM_DOP;Hamburga
HBS;Halberstadt;HBS_DOP;Halberstadtu
NHS;Nordhausen;NHS_DOP;Nordhausen
MLH;Mühlhausen;MLH_DOP;Mühlhausen
ERF;Erfurt;ERF_DOP;Erfurtu
WTZ;Wetzlar;WTZ_DOP;Wetzlaru
FRN;Frankfurt;FRN_DOP;Frankfurtu
WRM;Wormacja;WRM_DOP;Wormacji
AAC;Aachen;AAC_DOP;Aachen
DTM;Dortmund;DTM_DOP;Dortmundu
GOS;Goslar;GOS_DOP;Goslaru
BBG;Blankenburg;BBG_DOP;Blankenburga
ANH;Anhalt;ANH_DOP;Anhaltu
BNB;Bernburg;BNB_DOP;Bernburga
MFE;Mansfeld;MFE_DOP;Mansfeldu
MRB;Merseburg;MRB_DOP;Merseburga
NMB;Naumburg;NMB_DOP;Naumburga
QUB;Gera;QUB_DOP;Gery
WMA;Weimar;WMA_DOP;Weimaru
SWZ;Schwarzburg;SWZ_DOP;Schwarzburga
FLD;Fulda;FLD_DOP;Fuldy
SHS;Sondershausen;SHS_DOP;Sondershausen
HSF;Hersfeld;HSF_DOP;Hersfeldu
PDB;Paderborn;PDB_DOP;Paderbornu
SYE;Spyra;SYE_DOP;Spyry
KOL;Kolonia;KOL_DOP;Kolonii
APR;Prüm;APR_DOP;Prüm
ESS;Essen;ESS_DOP;Essen
HOX;Corvey;HOX_DOP;Corvey
ZIG;Ziegenhain;ZIG_DOP;Ziegenhain
HNA;Hanau;HNA_DOP;Hanau
BUD;Büdingen;BUD_DOP;Büdingen
DIE;Diez;DIE_DOP;Diez
MDN;Minden;MDN_DOP;Minden
OSN;Osnabrück;OSN_DOP;Osnabrücku
MUN;Münster;MUN_DOP;Münsteru
HDH;Hildesheim;HDH_DOP;Hildesheimu
VRD;Verden;VRD_DOP;Verden
UTR;Utrecht;UTR_DOP;Utrechtu
LIM;Limbourg;LIM_DOP;Limbourga
ERB;Erbach;ERB_DOP;Erbach
ZWE;Zweibrücken;ZWE_DOP;Zweibrücken
LNN;Leiningen;LNN_DOP;Leiningen
SPO;Sponheim;SPO_DOP;Sponheimu
SYN;Sayn;SYN_DOP;Sayn
DUN;Daun;DUN_DOP;Daun
JUL;Jülich;JUL_DOP;Jülich
GEL;Geldria;GEL_DOP;Geldrii
ZUT;Zutphen;ZUT_DOP;Zutphen
GMK;Mark;GMK_DOP;Mark
KLE;Cleve;KLE_DOP;Cleve
WTG;Wittgenstein;WTG_DOP;Wittgenstein
MRS;Moers;MRS_DOP;Moers
ANB;Arnsberg;ANB_DOP;Arnsberga
LPP;Lippe;LPP_DOP;Lippe
LUN;Lüneburg;LUN_DOP;Lüneburga
BRU;Brunszwik;BRU_DOP;Brunszwiku
GBH;Grubenhagen;GBH_DOP;Grubenhagen
SCB;Schauenburg;SCB_DOP;Schauenburga
HOY;Hoya;HOY_DOP;Hoya
NIE;Nienburg;NIE_DOP;Nienburga
DPH;Diepholz;DPH_DOP;Diepholz
RTB;Ritzebüttel;RTB_DOP;Ritzebüttel
OLD;Oldenburg;OLD_DOP;Oldenburga
NAM;Namur;NAM_DOP;Namur
LOO;Loon;LOO_DOP;Loon
HBG;Heinsberg;HBG_DOP;Heinsberga
VBG;Valkenburg;VBG_DOP;Valkenburga
HRN;Horn;HRN_DOP;Horn
CJK;Cuijk;CJK_DOP;Cuijk
CAM;Cambrésis;CAM_DOP;Cambrésis
STV;Stavelot-Malmedy;STV_DOP;Stavelot-Malmedy
CLI;Celje;CLI_DOP;Celje
ORT;Ortenburg;ORT_DOP;Ortenburga
ALE;Alençon;ALE_DOP;Alençon
AMG;Armagnac;AMG_DOP;Armagnac
VNT;Ventadour;VNT_DOP;Ventadour
RCC;Rochechouart;RCC_DOP;Rochechouart
CLT;Carlat;CLT_DOP;Carlat
ANG;Angoulême;ANG_DOP;Angoulême
BOU;Burbonia;BOU_DOP;Burbonii
MRC;La Marche;MRC_DOP;La Marche
CHP;Szampania;CHP_DOP;Szampanii
DAU;Viennois;DAU_DOP;Viennois
FCB;Franche-Comté;FCB_DOP;Franche-Comté
FOI;Foix;FOI_DOP;Foix
BRR;Béarn;BRR_DOP;Béarn
MDM;Marsan;MDM_DOP;Marsan
GUY;Gaskonia;GUY_DOP;Gaskonii
NEV;Nevers;NEV_DOP;Nevers
RET;Rethel;RET_DOP;Rethel
EVR;Evreux;EVR_DOP;Evreux
NRM;Normandia;NRM_DOP;Normandii
ORL;Orlean;ORL_DOP;Orleanu
PIC;Pikardia;PIC_DOP;Pikardii
PRO;Prowansja;PRO_DOP;Prowansji
TOU;Tuluza;TOU_DOP;Tuluzi
OCC;Occitania;OCC_DOP;Occitanii
NRB;Narbona;NRB_DOP;Narbony
BER;Berry;BER_DOP;Berry

# --- PÓŁWYSEP IBERYJSKI I ŚRÓDZIEMNOMORZE ---
LON;León;LON_DOP;Leónu
GLC;Galicja;GLC_DOP;Galicji
NAV;Nawarra;NAV_DOP;Nawarry
POR;Portugalia;POR_DOP;Portugalii
CAS;Kastylia;CAS_DOP;Kastylii
ANR;Andora;ANR_DOP;Andory
BRI;Bretania;BRI_DOP;Bretanii
MLL;Majorka;MLL_DOP;Majorki
VAL;Walencja;VAL_DOP;Walencji
AQN;Akwitania;AQN_DOP;Akwitanii
BUR;Burgundia;BUR_DOP;Burgundii
SPA;Hiszpania;SPA_DOP;Hiszpanii
AMP;Empuries;AMP_DOP;Empuries

# --- WŁOCHY KATOLICKIE (SYŃORIE I MONARCHIE DOPEŁNIACZOWE) ---
ANC;Ankona;ANC_DOP;Ankony
ARB;Arborea;ARB_DOP;Arborei
CEV;Ceva;CEV_DOP;Cevy
CHX;Chieri;CHX_DOP;Chieri
COR;Korsyka;COR_DOP;Korsyki
COT;Cortona;COT_DOP;Cortony
FER;Ferrara;FER_DOP;Ferrary
GEN;Genua;GEN_DOP;Genui
LUC;Lukka;LUC_DOP;Lukki
MAN;Mantua;MAN_DOP;Mantui
MFA;Montferrat;MFA_DOP;Montferratu
MLO;Mediolan;MLO_DOP;Mediolanu
MOD;Modena;MOD_DOP;Modeny
NAP;Neapol;NAP_DOP;Neapolu
PAP;Rzym;PAP_DOP;Rzymu
SAR;Sardynia;SAR_DOP;Sardynii
SAV;Sabaudia;SAV_DOP;Sabaudii
SIC;Sycylia;SIC_DOP;Sycylii
SIE;Siena;SIE_DOP;Sieny
SPL;Spoleto;SPL_DOP;Spoleto
TNT;Trydent;TNT_DOP;Trydentu
TOR;Torres;TOR_DOP;Torres
TTE;Triest;TTE_DOP;Triestu
URB;Urbino;URB_DOP;Urbino
VEN;Wenecja;VEN_DOP;Wenecji
VER;Werona;VER_DOP;Werony
VIN;Vicenza;VIN_DOP;Vicenzy
PRZ;Peruzzi;PRZ_DOP;Peruzzich
BRD;Bardi;BRD_DOP;Bardich
ACC;Acciaiuoli;ACC_DOP;Acciaiuolich
PST;Pistoia;PST_DOP;Pistoi

# --- BAŁKANY KATOLICKIE ---
CRO;Chorwacja;CRO_DOP;Chorwacji
SVN;Slawonia;SVN_DOP;Slawonii
BOS;Bośnia;BOS_DOP;Bośni
RAG;Ragusa;RAG_DOP;Ragusy
HUM;Hum;HUM_DOP;Humu
