# --- KRAJE I KSIĘSTWA RUSKIE (DOPEŁNIACZOWE) ---
MOS;Moskwa;MOS_DOP;Moskwy
# --- REPUBLIKI I PAŃSTWA-MIASTA (MONARCHIE ZSTĘPNE) ---
NOV;Nowogród Wielki;NOV_DOP;Nowogrodu Wielkiego
GRS;Gorodiec;GRS_DOP;Gorodca

# --- BAŁKANY I GRECJA (PRAWOSŁAWNE I ŚWIECKIE) ---
GRE;Grecja;GRE_DOP;Grecji
BUL;Bułgaria;BUL_DOP;Bułgarii
SER;Serbia;SER_DOP;Serbii
SMC;Strumica;SMC_DOP;Strumicy
THP;Thopia;THP_DOP;Thopii
MZK;Muzaka;MZK_DOP;Muzaki
ANT;Arianiti;ANT_DOP;Arianiti
MTR;Mataranga;MTR_DOP;Matarangi
ZTA;Zeta;ZTA_DOP;Zety
FEO;Teodoro;FEO_DOP;Teodoro
GAZ;Gazaria;GAZ_DOP;Gazarii
THE;Saloniki;THE_DOP;Salonik
THS;Tesalia;THS_DOP;Tesalii
MOE;Morea;MOE_DOP;Morei
KVN;Dobrudża;KVN_DOP;Dobrudży

KIE;Kijów;KIE_DOP;Kijowa
HAL;Halicz;HAL_DOP;Halicza
RSO;Rostów;RSO_DOP;Rostowa
WAL;Wołoszczyzna;WAL_DOP;Wołoszczyzny
MOL;Mołdawia;MOL_DOP;Mołdawii
BIA;Baia;BIA_DOP;Baii
BLD;Bârlad;BLD_DOP;Bârladu
HSC;Hansca;HSC_DOP;Hansca
HTN;Chocim;HTN_DOP;Chocimia
IAS;Jassy;IAS_DOP;Jassów
SRC;Soroki;SRC_DOP;Sorok
SSI;Străşineţ;SSI_DOP;Străşineţu
TRA;Transylwania;TRA_DOP;Transylwanii
RMN;Rumunia;RMN_DOP;Rumunii
UKR;Ruś;UKR_DOP;Rusi
GEO;Gruzja;GEO_DOP;Gruzji
AAI;Alastani;AAI_DOP;Alastani
IME;Imeretia;IME_DOP;Imeretii
SME;Samcche;SME_DOP;Samcche
SRV;Szyrwan;SRV_DOP;Szyrwanu
AVR;Awaria;AVR_DOP;Awarii
TRK;Tarki;TRK_DOP;Tarek
ARM;Armenia;ARM_DOP;Armenii
AMB;Amberd;AMB_DOP;Amberdu
VDZ;Wajoc Dzor;VDZ_DOP;Wajoc Dzor
KCN;Khachen;KCN_DOP;Khachen
SYU;Sjunik;SYU_DOP;Sjuniku
ALN;Alania;ALN_DOP;Alanii
DZK;Durdzuketia;DZK_DOP;Durdzuketii
SMS;Simsir;SMS_DOP;Simsiru
LEK;Lekia;LEK_DOP;Lekii
KAI;Kajtagowie;KAI_DOP;Kajtagów
RUT;Rutulowie;RUT_DOP;Rutulów
TBA;Tabasaranowie;TBA_DOP;Tabasaranów
SKI;Szeki;SKI_DOP;Szeku
LCK;Khorshidi;LCK_DOP;Khorshidi

ATR;Astrachań;ATR_DOP;Astrachania
NOG;Nogaj;NOG_DOP;Nogaju
CRI;Krym;CRI_DOP;Krymu
GLH;Dżoczi;GLH_DOP;Dżoczi
MAM;Egipt;MAM_DOP;Egiptu
EGY;Egipt;EGY_DOP;Egiptu
TRP;Trypolis;TRP_DOP;Trypolisu
FZA;Fazzan;FZA_DOP;Fazzanu
KOJ;Jerozolima;KOJ_DOP;Jerozolimy
ALY;Alaiye;ALY_DOP;Alaiye
ATQ;Artukidzi;ATQ_DOP;Artukidów
AYD;Aydınidowie;AYD_DOP;Aydınidów
BFR;Bafra;BFR_DOP;Bafry
CIL;Cylicja;CIL_DOP;Cylicji
CND;Candarydzi;CND_DOP;Candarydów
DIL;Dilmacydzi;DIL_DOP;Dilmacydów
DUL;Dulkadirydzi;DUL_DOP;Dulkadirydów
ERE;Eretnidzi;ERE_DOP;Eretnidów
GRM;Germiyanidzi;GRM_DOP;Germiyanidów
HMD;Hamidydzi;HMD_DOP;Hamidydów
HCI;Haciemirydzi;HCI_DOP;Haciemirydów
HSN;Ajjubidzi;HSN_DOP;Ajjubidów
INA;İnancydzi;INA_DOP;İnancydów
KAR;Karamanidzi;KAR_DOP;Karamanidów
KBD;Kubadydzi;KBD_DOP;Kubadydów
KRD;Karasydzi;KRD_DOP;Karasydów
MEN;Menteseidzi;MEN_DOP;Menteseidów
TVS;Tavas;TVS_DOP;Tavasu
SHP;Sahib Ata;SHP_DOP;Sahib Ata
SRU;Saruhanidzi;SRU_DOP;Saruhanidów
SUT;Sutajidzi;SUT_DOP;Sutajidów
TDJ;Tacettinydzi;TDJ_DOP;Tacettinydów
TEK;Teke;TEK_DOP;Teke
RUM;Rûm;RUM_DOP;Rûmu
ILK;Īlkhānān;ILK_DOP;Īlkhānān

AQU;Akwileja;AQU_DOP;Akwilei
ARZ;Arezzo;ARZ_DOP;Arezzo
ASC;Ascoli;ASC_DOP;Ascoli
ASD;Alessandria;ASD_DOP;Alessandrii
BLG;Bolonia;BLG_DOP;Bolonii
BRS;Brescia;BRS_DOP;Brescii
BGM;Bergamo;BGM_DOP;Bergamo
CHV;Chiavenna;CHV_DOP;Chiavenny
LDI;Lodi;LDI_DOP;Lodi
NVA;Novara;NVA_DOP;Novary
PCZ;Piacenza;PCZ_DOP;Piacenzy
VRC;Vercelli;VRC_DOP;Vercelli
CAG;Cagliari;CAG_DOP;Cagliari
CDC;Città di Castello;CDC_DOP;Città di Castello
CEN;Ceneda;CEN_DOP;Cenedy
CES;Cesena;CES_DOP;Ceseny
GUB;Gubbio;GUB_DOP;Gubbio
IMO;Imola;IMO_DOP;Imoli
PAD;Padwa;PAD_DOP;Padwy
PAR;Parma;PAR_DOP;Parmy
PAV;Pawia;PAV_DOP;Pawii
PEA;Perugia;PEA_DOP;Perugii
PES;Pesaro;PES_DOP;Pesaro
PIO;Piombino;PIO_DOP;Piombino
PIS;Piza;PIS_DOP;Pizy
PRA;Prato;PRA_DOP;Prato
RAV;Rawenna;RAV_DOP;Rawenny
RGG;Reggio;RGG_DOP;Reggio
RIM;Rimini;RIM_DOP;Rimini
SIE;Siena;SIE_DOP;Sieny
PTG;Pitigliano;PTG_DOP;Pitigliano
SSP;Sansepolcro;SSP_DOP;Sansepolcro
TRV;Treviso;TRV_DOP;Treviso
TTN;Tortona;TTN_DOP;Tortony
ZUR;Zurych;ZUR_DOP;Zurychu
SYZ;Schwyz;SYZ_DOP;Schwyz
URI;Uri;URI_DOP;Uri
OBW;Obwalden;OBW_DOP;Obwalden
LCU;Lucerna;LCU_DOP;Lucerny
SWI;Szwajcaria;SWI_DOP;Szwajcarii
BRN;Berno;BRN_DOP;Berna
SLT;Solura;SLT_DOP;Solury
STG;St. Gallen;STG_DOP;St. Gallen
BCH;Chur;BCH_DOP;Chur
GLR;Glarus;GLR_DOP;Glarus
LCA;Como;LCA_DOP;Como
SIT;Sion;SIT_DOP;Sionu
BAS;Bazylea;BAS_DOP;Bazylei
LSA;Lozanna;LSA_DOP;Lozanny

PLN;Plauen;PLN_DOP;Plauen
SPB;Spremberg;SPB_DOP;Spremberga
GLA;Glauchau;GLA_DOP;Glauchau
JAW;Jawor;JAW_DOP;Jawora
SWB;Saksonia-Wittenbergia;SWB_DOP;Saksonii-Wittenbergii
RUP;Ruppin;RUP_DOP;Ruppina
HVB;Havelberg;HVB_DOP;Havelberga
HSP;Holsztyn-Pinneberg;HSP_DOP;Holsztyna-Pinneberga
BSK;Beeskow-Starkow;BSK_DOP;Beeskowa-Starkowa
MSO;Mesocco;MSO_DOP;Mesocco
SAX;Saksonia;SAX_DOP;Saksonii
MAG;Magdeburg;MAG_DOP;Magdeburga
BRE;Brema;BRE_DOP;Bremy
BRM;Bremen;BRM_DOP;Bremy
KTZ;Katzenelnbogen;KTZ_DOP;Katzenelnbogen
BRG;Berg;BRG_DOP;Bergu
MAI;Moguncja;MAI_DOP;Moguncji
SAA;Saarücken;SAA_DOP;Saarbrücken
SHL;Holsztyn;SHL_DOP;Holsztyna
SIL;Śląsk;SIL_DOP;Śląska
MVA;Morawy;MVA_DOP;Moraw
LBV;Dolna Bawaria;LBV_DOP;Dolnej Bawarii
UBV;Górna Bawaria;UBV_DOP;Górnej Bawarii
BAV;Bawaria;BAV_DOP;Bawarii
AUG;Augusta Vindelicorum;AUG_DOP;Augusty Vindelicorum
AGC;Augsburg;AGC_DOP;Augsburga
BAM;Bamberg;BAM_DOP;Bamberga
PSS;Pasawa;PSS_DOP;Pasawy
ANS;Ansbach;ANS_DOP;Ansbachu
ULM;Ulm;ULM_DOP;Ulm
GRF;Hals;GRF_DOP;Hals
REG;Ratyzbona;REG_DOP;Ratyzbony
FRE;Freising;FRE_DOP;Freisingu
EIC;Eichstätt;EIC_DOP;Eichstätt
NUR;Norymberga;NUR_DOP;Norymbergi
WLD;Waldsassen;WLD_DOP;Waldsassen
BRC;Berchtesgaden;BRC_DOP;Berchtesgaden

HNB;Henneberg;HNB_DOP;Henneberga
WBG;Würzburg;WBG_DOP;Würzburga
RIE;Rieneck;RIE_DOP;Rienecku
MSB;Mosbach;MSB_DOP;Mosbachu
UFF;Hohenlohe;UFF_DOP;Hohenlohe
ROT;Rothenburg;ROT_DOP;Rothenburga
DNB;Dinkelsbühl;DNB_DOP;Dinkelsbühls
WEI;Weißenburg;WEI_DOP;Weißenburga
OET;Oettingen;OET_DOP;Oettingen
SWH;Schwäbisch Hall;SWH_DOP;Schwäbisch Hall
HBR;Heilbronn;HBR_DOP;Heilbronnu
SPY;Spira;SPY_DOP;Spiry
BDE;Baden;BDE_DOP;Badenii
RVA;Ravensburg;RVA_DOP;Ravensburga
ALS;Strasburgum;ALS_DOP;Strasburga
FRT;Ferrette;FRT_DOP;Ferrette
MEM;Memmingen;MEM_DOP;Memmingen
KMP;Kempten;KMP_DOP;Kempten
KNZ;Konstancja;KNZ_DOP;Konstancji
WDB;Waldberg;WDB_DOP;Waldberga
BIB;Biberach;BIB_DOP;Biberachu
UBL;Überlingen;UBL_DOP;Überlingen
OFB;Offenburg;OFB_DOP;Offenburga
FBG;Fryburg;FBG_DOP;Fryburga
BSC;Besançon;BSC_DOP;Besançon
TUL;Toul;TUL_DOP;Toul
VDU;Verdun;VDU_DOP;Verdun
MTZ;Metz;MTZ_DOP;Metzu
MOU;Mouzon;MOU_DOP;Mouzon
HHB;Hohenberg;HHB_DOP;Hohenberga
BXN;Bressanone;BXN_DOP;Bressanone
WER;Werdenberg;WER_DOP;Werdenberga
MFK;Feldkirch;MFK_DOP;Feldkirchu
MBZ;Bregencja;MBZ_DOP;Bregencji
TRN;Turn;TRN_DOP;Turnu
KYB;Kyburg;KYB_DOP;Kyburga
NEU;Neuchâtel;NEU_DOP;Neuchâtel
MTB;Montbéliard;MTB_DOP;Montbéliardzkiego
SLM;Salm;SLM_DOP;Salm
HAN;Hanower;HAN_DOP;Hanoweru
WES;Westfalia;WES_DOP;Westfalii
FKN;Frankonia;FKN_DOP;Frankonii
GER;Niemcy;GER_DOP;Niemiec

ALL;Allstedt;ALL_DOP;Allstedt
FMB;Fomin-Berezuesk;FMB_DOP;Fomina-Berezueska
DRU;Druck;DRU_DOP;Drucku
NRK;Nowogródek;NRK_DOP;Nowogródka
ANJ;Anjou;ANJ_DOP;Anjou
ARR;Artois;ARR_DOP;Artois
CHA;Champagne;CHA_DOP;Szampanii
FOI;Foix;FOI_DOP;Foix
AMG;Armagnac;AMG_DOP;Armagnac
ALE;Alençon;ALE_DOP;Alençon
BRB;Brabant;BRB_DOP;Brabantu
HAI;Hainaut;HAI_DOP;Hainaut
GEL;Gelre;GEL_DOP;Gelre
HOL;Holandia;HOL_DOP;Holandii
ZEE;Zelandia;ZEE_DOP;Zelandii
UTR;Utrecht;UTR_DOP;Utrechtu
LIE;Liège;LIE_DOP;Liège
LIM;Limburg;LIM_DOP;Limburgu
NAM;Namur;NAM_DOP;Namur
AAI;Alastani;AAI_DOP;Alastani
IME;Imeretia;IME_DOP;Imeretii
SME;Samcche;SME_DOP;Samcche
SRV;Szyrwan;SRV_DOP;Szyrwanu
AVR;Awaria;AVR_DOP;Awarii
TRK;Tarki;TRK_DOP;Tarek
ARM;Armenia;ARM_DOP;Armenii
AMB;Amberd;AMB_DOP;Amberdu
VDZ;Wajoc Dzor;VDZ_DOP;Wajoc Dzor
KCN;Khachen;KCN_DOP;Khachen
SYU;Sjunik;SYU_DOP;Sjuniku
ALN;Alania;ALN_DOP;Alanii
DZK;Durdzuketia;DZK_DOP;Durdzuketii
SMS;Simsir;SMS_DOP;Simsiru
LEK;Lekia;LEK_DOP;Lekii
KAI;Kajtagowie;KAI_DOP;Kajtagów
RUT;Rutulowie;RUT_DOP;Rutulów
TBA;Tabasaranowie;TBA_DOP;Tabasaranów
SKI;Szeki;SKI_DOP;Szeku
LCK;Khorshidi;LCK_DOP;Khorshidi
LST;Larestan;LST_DOP;Larestanu
HDN;Hamedān;HDN_DOP;Hamadanu
QOM;Qom;QOM_DOP;Komu
KSA;Kāshān;KSA_DOP;Kaszanu
ASR;Astarābād;ASR_DOP;Astarabadu
JKR;Jauni Kurban;JKR_DOP;Jauni Kurbanu
SFR;Esfarāyen;SFR_DOP;Esfarayenu
SBZ;Sabzevār;SBZ_DOP;Sabzewaru
KHT;Kohistan;KHT_DOP;Kohistanu
MRV;Merv;MRV_DOP;Merwu
KHF;Khaf;KHF_DOP;Khafu
HLG;Hüleguidzi;HLG_DOP;Hüleguidów
NGD;Nikudarowie;NGD_DOP;Nikudarów
QUN;Qaraunas;QUN_DOP;Qaraunasów
BSD;Besüd;BSD_DOP;Besüd
ART;Arlat;ART_DOP;Arlat
APD;Apardi;APD_DOP;Apardi
SLD;Suldus;SLD_DOP;Suldus
BRL;Barlas;BRL_DOP;Barlas
YSU;Yasa’uri;YSU_DOP;Yasa'uri
KTT;Khuttal;KTT_DOP;Khuttalu
JLY;Dżalair;JLY_DOP;Dżalairu

CHB;Czobanidzi;CHB_DOP;Czobanidów
MZF;Mozaffarydzi;MZF_DOP;Mozaffarydów
ERA;Ērānšahr;ERA_DOP;Ērānšahru
INJ;Injuidzi;INJ_DOP;Injuidów
KRT;Kartidowie;KRT_DOP;Kartidów
SRB;Sarbadarowie;SRB_DOP;Sarbadarów
GRG;Gorgan;GRG_DOP;Gorganu
MIH;Mihrabanidzi;MIH_DOP;Mihrabanidów
SHB;Shabankara;SHB_DOP;Shabankary
HZP;Hazaraspidzi;HZP_DOP;Hazaraspidów
ORM;Ormus;ORM_DOP;Ormuzu
KRY;Gilan;KRY_DOP;Gilanu
LHJ;Lahidżan;LHJ_DOP;Lahidżanu
RNK;Ranekouh;RNK_DOP;Ranekouhu
FMN;Fuman;FMN_DOP;Fumanu
RSH;Raszt;RSH_DOP;Rasztu
TLM;Tulam;TLM_DOP;Tulamu
MZN;Tabarystan;MZN_DOP;Tabarystanu
BDS;Baduspanidzi;BDS_DOP;Baduspanidów
MKR;Mekran;MKR_DOP;Mekranu
BMP;Bampur;BMP_DOP;Bampuru
BLA;Buleda;BLA_DOP;Buledy
KLW;Kołwa;KLW_DOP;Kołwy
KHZ;Khuzdar;KHZ_DOP;Khuzdaru
KLA;Kalāt;KLA_DOP;Kalātu
JSK;Jāsk;JSK_DOP;Jāsku
FAL;Fal;FAL_DOP;Falu
KHN;Kharan;KHN_DOP;Kharanu
KRM;Kerman;KRM_DOP;Kermanu
KHU;Khonj;KHU_DOP;Khondżu
JUR;Jurmanidzi;JUR_DOP;Jurmanidów
UGH;Ughanidzi;UGH_DOP;Ughanidów
HLL;Al-Hilla;HLL_DOP;Al-Hilli
YEM;Jemen;YEM_DOP;Jemenu
JRW;Jarwanidzi;JRW_DOP;Jarwanidów
OMA;Oman;OMA_DOP;Omanu
MEC;Mekka;MEC_DOP;Mekki
SHM;Szammar;SHM_DOP;Szammaru
ANZ;Anizah;ANZ_DOP;Anizah
HUT;Hutaym;HUT_DOP;Hutaymu
HRB;Harb;HRB_DOP;Harbu
MUT;Mutayr;MUT_DOP;Mutayru
UTB;Otaibah;UTB_DOP;Otaibah
DWS;Dawasir;DWS_DOP;Dawasiru
QHT;Qahtān;QHT_DOP;Qahtānu
SBY;Subay;SBY_DOP;Subay
MRH;Al Murrah;MRH_DOP;Al Murrah
YAM;Yām;YAM_DOP;Yāmu
YAS;Yas;YAS_DOP;Yas
MDA;Medyna;MDA_DOP;Medyny
KLB;Kilab;KLB_DOP;Kilabu
AAD;Al Aidh;AAD_DOP;Al Aidh
BNL;Lam;BNL_DOP;Lam
AZF;Al-Zafir;AZF_DOP;Al-Zafiru
ZIB;Ziib;ZIB_DOP;Ziib
DHF;Zufar;DHF_DOP;Zufaru

DEC;Dekan;DEC_DOP;Dekanu
MHR;Marathowie;MHR_DOP;Marathów
HIN;Indie;HIN_DOP;Indii
PUN;Pendżab;PUN_DOP;Pendżabu
RJP;Radżputana;RJP_DOP;Radżputany
GUJ;Gudżarat;GUJ_DOP;Gudżaratu
SHA;Szan;SHA_DOP;Szanu
DLH;Delhi;DLH_DOP;Delhi
GOA;Goa;GOA_DOP;Goa
HNV;Honnavara;HNV_DOP;Honnavaru
CHD;Czanda;CHD_DOP;Czandy
BGL;Baglana;BGL_DOP;Baglany
BGR;Bandhugara;BGR_DOP;Bandhugary
WRG;Wairagarh;WRG_DOP;Wairagarhu
KNK;Kanker;KNK_DOP;Kankeru
BST;Bastar;BST_DOP;Bastaru
ORI;Orisa;ORI_DOP;Orisy
JPO;Nandapur;JPO_DOP;Nandapuru
DRP;Ramnagar;DRP_DOP;Ramnagaru
JWR;Jawhar;JWR_DOP;Jawharu
MEW;Mewar;MEW_DOP;Mewaru
DGR;Bagar;DGR_DOP;Bagaru
IDR;Idar;IDR_DOP;Idaru
JLR;Dźalaur;JLR_DOP;Dźalauru
CMN;Ćampaner;CMN_DOP;Ćampaneru
RJI;Radźpipala;RJI_DOP;Radźpipaly
RNP;Ranpur;RNP_DOP;Ranpuru
GHL;Gohilwad;GHL_DOP;Gohilwadu
PLT;Palitana;PLT_DOP;Palitany
JNG;Dźunagadh;JNG_DOP;Dźunagadhu
BHD;Bhanvad;BHD_DOP;Bhanvadu
JLW;Jhalawad;JLW_DOP;Jhalawadu
KUT;Kaććh;KUT_DOP;Kaććhu
MRW;Marwar;MRW_DOP;Marwaru
HAD;Hadoti;HAD_DOP;Hadoti
JSL;Dźajsalmer;JSL_DOP;Dźajsalmeru
DHU;Dhundhar;DHU_DOP;Dhundharu
GWA;Gwalijar;GWA_DOP;Gwalijaru
JJK;Dźedźakbhukti;JJK_DOP;Dźedźakbhukti
BND;Bundelchand;BND_DOP;Bundelchandu
BGK;Bagelchand;BGK_DOP;Bagelchandu
MAU;Maugańdź;MAU_DOP;Maugańdźu
KHR;Kherla;KHR_DOP;Kherli
GHR;Garha;GHR_DOP;Garhy
RTP;Ratnapura;RTP_DOP;Ratnapury
BAD;Baudh;BAD_DOP;Baudhu
NRS;Narsinghpur;NRS_DOP;Narsinghpuru
KJA;Keondźar;KJA_DOP;Keondźaru
PTN;Patna;PTN_DOP;Patny
PRT;Mandore;PRT_DOP;Mandore
KLH;Kalahandi;KLH_DOP;Kalahandi
SRG;Sarangarh;SRG_DOP;Sarangarhu
PLA;Pal Lahara;PLA_DOP;Pal Lahara
BNA;Bonai;BNA_DOP;Bonai
MJU;Majurbhandź;MJU_DOP;Majurbhandźu
MSN;Musuniri;MSN_DOP;Musuniryjs
RCH;Recherla;RCH_DOP;Recherli
JFN;Dżafna;JFN_DOP;Dżafny
YDR;Jadawaraja;YDR_DOP;Jadawarai
RDY;Reddi;RDY_DOP;Reddi
TNK;Pandja;TNK_DOP;Pandji
MAB;Mabar;MAB_DOP;Mabaru
VIJ;Widźajanagar;VIJ_DOP;Widźajanagaru
SMV;Sambuwarajar;SMV_DOP;Sambuwarajaru
HSL;Hojsala;HSL_DOP;Hojsali
ZMR;Kozhikode;ZMR_DOP;Kozhikode
KLT;Kolathunadu;KLT_DOP;Kolathunadu
PDU;Koczin;PDU_DOP;Koczinu
VND;Venad;VND_DOP;Venadu
KTN;Kuttanad;KTN_DOP;Kuttanadu
KDU;Padindźattedathu;KDU_DOP;Padindźattedathu
KYA;Kottayam;KYA_DOP;Kottayamu
VLD;Valluvanad;VLD_DOP;Valluvanadu
ELA;Elayadathu;ELA_DOP;Elayadathu
TKU;Thekkumkur;TKU_DOP;Thekkumkuru
VDK;Vadakkumkur;VDK_DOP;Vadakkumkuru
ALU;Alupa;ALU_DOP;Alupy
STR;Santara;STR_DOP;Santary
RJR;Rajouri;RJR_DOP;Rajouri
PNC;Poonch;PNC_DOP;Poonch
KGR;Kangra;KGR_DOP;Kangry
CBH;Bhimber;CBH_DOP;Bhimberu
SKT;Suket;SKT_DOP;Suketu
BSP;Bilaspur;BSP_DOP;Bilaspuru
AMN;Camana;AMN_DOP;Camany
KTL;Kutlehar;KTL_DOP;Kutleharu
LHL;Lahul;LHL_DOP;Lahulu
KSW;Kisztwar;KSW_DOP;Kisztwaru
CAB;Chamba;CAB_DOP;Chamby
KLU;Kullu;KLU_DOP;Kullu
KSH;Kaszmir;KSH_DOP;Kaszmiru
NAG;Nagar;NAG_DOP;Nagaru
HNZ;Hunza;HNZ_DOP;Hunzy
GLI;Gilgit;GLI_DOP;Gilgitu
CRL;Urtsun;CRL_DOP;Urtsunu
SWT;Swat;SWT_DOP;Swatu
CTR;Czitral;CTR_DOP;Czifralu
SMA;Samma;SMA_DOP;Sammy
SND;Sindh;SND_DOP;Sindhu
NRP;Nurpur;NRP_DOP;Nurpuru
DBD;Dambadeniya;DBD_DOP;Dambadeniyi

CHI;Chiny;CHI_DOP;Chin
YUA;Yuán;YUA_DOP;Yuan
MNG;Míng;MNG_DOP;Ming
CSO;Sòng;CSO_DOP;Song
WUU;Wú;WUU_DOP;Wu
CTW;Tiānwán;CTW_DOP;Tianwan
CHE;Chén;CHE_DOP;Chen
CSH;Shùn;CSH_DOP;Shun
CXI;Xià;CXI_DOP;Xia
CTG;Tûng-nèn;CTG_DOP;Tung-nen
CFN;Fāng;CFN_DOP;Fang
CMO;Máo;CMO_DOP;Mao
CGU;Guō;CGU_DOP;Guo
CNP;Nánpíng;CNP_DOP;Nanping
CDN;Dōngguǎn;CDN_DOP;Dongguan
CSI;Lǐ;CSI_DOP;Li
CKO;Köke Temür;CKO_DOP;Köke Temür
CNA;Naghachu;CNA_DOP;Naghachu
QNG;Qīng;QNG_DOP;Qing
MCH_LATER_JIN;Późniejsze Jin;MCH_LATER_JIN_DOP;Późniejszego Jin
MMA;Möng Mao;MMA_DOP;Möng Mao
MHK;Möng Hkeng;MHK_DOP;Möng Hkeng
MHN;Möng Hten;MHN_DOP;Möng Hten
MTG;Möng Ting;MTG_DOP;Möng Ting
MGN;Möng Ngüm;MGN_DOP;Möng Ngüm
MHA;Möng Hsa;MHA_DOP;Möng Hsa
MWO;Möng Wo;MWO_DOP;Möng Wo
MGK;Möng Ku;MGK_DOP;Möng Ku
YNJ;Yuánjiāng;YNJ_DOP;Yuanjiang
NWU;Niuwu;NWU_DOP;Niuwu
NYZ;Níngyuǎnzhōu;NYZ_DOP;Ningyuanzhou
NLU;Nalou;NLU_DOP;Nalou
YJI;Yánjǐng;YJI_DOP;Yanjing
BZH;Běishèng;BZH_DOP;Beisheng
YAN;Yáo’ān;YAN_DOP;Yao'an
HQG;Hèqìng;HQG_DOP;Heqing
NNN;Ānnán;NNN_DOP;Annan
AGN;Āníng;AGN_DOP;Aning
MLE;Mílè;MLE_DOP;Mile
JSI;Jiànshuǐ;JSI_DOP;Jianshui
SPG;Shípíng;SPG_DOP;Shiping
NGZ;Níngzhōu;NGZ_DOP;Ningzhou
LLS;Luóluósī;LLS_DOP;Luoluosi
CGZ;Chāngzhōu;CGZ_DOP;Changzhou
XLG;Xianlong;XLG_DOP;Xianlong
WDG;Wǔdìng;WDG_DOP;Wuding
RND;Réndé;RND_DOP;Rende
DCN;Dōngchuān;DCN_DOP;Dongchuan
WNG;Wūméng;WNG_DOP;Wumeng
MHU;Mǎhú;MHU_DOP;Mahu
LBO;Léibō;LBO_DOP;Leibo
YNL;Yúnlián;YNL_DOP;Yunlian
ZNX;Zhènxióng;ZNX_DOP;Zhenxiong
WSA;Wūsā;WSA_DOP;Wusa
ZYI;Zhānyì;ZYI_DOP;Zhanyi
QJG;Qūjìng;QJG_DOP;Qujing
YZO;Yìzuǒ;YZO_DOP;Yizuo
MLG;Mǎlóng;MLG_DOP;Malong
LLN;Lùliáng;LLN_DOP;Luliang
LXG;Luōxióng;LXG_DOP;Luoxiong
GGX;Kuangsi;GGX_DOP;Kuangsi
SZG;Shīzōng;SZG_DOP;Shizong
SXI;Shǔixī;SXI_DOP;Shuixi
CLE;Chēlēi;CLE_DOP;Chelei
BZU;Bōzhōu;BZU_DOP;Bozhou
NPG;Qíjiāng;NPG_DOP;Qijiang
RNG;Róng;RNG_DOP;Rong
GNG;Gǒng;GNG_DOP;Gong
ZNZ;Shēnzhōu;ZNZ_DOP;Shenzhou
SZU;Shízhù;SZU_DOP;Shizhu
ZGL;Zhōnglù;ZGL_DOP;Zhonglu
TGY;Tángyá;TGY_DOP;Tangya
GLU;Gāoluó;GLU_DOP;Gaulu
RGM;Róngměi;RGM_DOP;Rongmei
TNP;Tiānpíng;TNP_DOP;Tianping
SGZ;Sāngzhí;SGZ_DOP;Sangzhi
DWG;Dàwáng;DWG_DOP;Dawang
